SKU,Component,Supplier,Cost
LP0044,Keyboard,Kingston,309
LP0044,Speaker,GreenCell,103
LP0045,Battery,Samsung,340
LP0045,Motherboard,GreenCell,80
LP0045,GPU,GreenCell,123
LP0045,Touchpad,IntelWorks,338
LP0045,Cooling Fan,Samsung,26
LP0045,Keyboard,CoolTech,274
LP0046,Speaker,Nvidia,246
LP0046,Motherboard,VisionDisplay,327
LP0046,Cooling Fan,IntelWorks,145
LP0046,Display,Samsung,337
LP0046,GPU,KeyTech,45
LP0046,SSD,GreenCell,95
LP0046,Keyboard,IntelWorks,354
LP0046,RAM,Kingston,38
LP0047,Motherboard,Nvidia,111
LP0047,SSD,GreenCell,364
LP0047,RAM,Samsung,332
LP0047,Touchpad,GreenCell,253
LP0047,GPU,Kingston,496
LP0047,Cooling Fan,IntelWorks,67
LP0048,RAM,Samsung,261
LP0048,Touchpad,GreenCell,82
LP0048,GPU,Samsung,188
LP0048,Cooling Fan,Nvidia,288
LP0048,Motherboard,KeyTech,376
LP0048,Keyboard,KeyTech,333
LP0048,Speaker,IntelWorks,75
LP0049,Cooling Fan,Samsung,289
LP0049,SSD,Kingston,494
LP0049,GPU,GreenCell,334
LP0049,Speaker,CoolTech,286
LP0049,Battery,CoolTech,272
LP0050,Touchpad,IntelWorks,258
LP0050,Keyboard,VisionDisplay,397
LP0050,SSD,KeyTech,429
LP0050,Display,Nvidia,231
LP0050,Motherboard,IntelWorks,190
LP0050,RAM,Kingston,306
LP0051,Motherboard,Samsung,279
LP0051,Keyboard,Kingston,412
LP0051,SSD,IntelWorks,78
LP0051,Battery,Kingston,194
LP0051,Touchpad,Nvidia,390
LP0051,GPU,IntelWorks,446
LP0052,Keyboard,IntelWorks,350
LP0052,RAM,GreenCell,266
LP0052,Speaker,GreenCell,341
LP0052,Cooling Fan,CoolTech,476
LP0052,Touchpad,Kingston,256
LP0052,GPU,Nvidia,495
LP0053,Speaker,IntelWorks,126
LP0053,SSD,Kingston,429
LP0053,RAM,Kingston,53
LP0053,Touchpad,GreenCell,163
LP0053,GPU,IntelWorks,193
LP0054,Speaker,Kingston,383
LP0054,Battery,IntelWorks,159
LP0054,GPU,Nvidia,64
LP0054,Display,CoolTech,469
LP0054,SSD,KeyTech,210
LP0054,Motherboard,CoolTech,444
LP0054,Touchpad,Samsung,130
LP0054,Keyboard,Samsung,109
LP0055,RAM,IntelWorks,429
LP0055,Motherboard,CoolTech,483
LP0055,Keyboard,GreenCell,117
LP0055,Speaker,Kingston,492
LP0055,Cooling Fan,CoolTech,395
LP0056,RAM,IntelWorks,255
LP0056,Battery,Nvidia,385
LP0056,Display,VisionDisplay,22
LP0056,GPU,Samsung,497
LP0056,SSD,IntelWorks,371
LP0056,Cooling Fan,VisionDisplay,190
LP0056,Touchpad,CoolTech,475
LP0057,Display,Samsung,347
LP0057,Speaker,KeyTech,184
LP0057,SSD,KeyTech,118
LP0057,Motherboard,Samsung,161
LP0057,Cooling Fan,Kingston,415
LP0058,Display,VisionDisplay,125
LP0058,SSD,Kingston,301
LP0058,Battery,Kingston,158
LP0058,Touchpad,GreenCell,380
LP0058,Cooling Fan,Samsung,313
LP0058,Motherboard,KeyTech,107
LP0058,Speaker,VisionDisplay,179
LP0058,RAM,Kingston,296
LP0059,Motherboard,IntelWorks,64
LP0059,Battery,Nvidia,220
LP0059,Touchpad,GreenCell,380
LP0059,Keyboard,CoolTech,335
LP0059,RAM,Kingston,179
LP0059,Cooling Fan,Kingston,438
LP0059,SSD,KeyTech,385
LP0059,Display,VisionDisplay,492
LP0060,Touchpad,Samsung,370
LP0060,Battery,CoolTech,260
LP0060,Display,KeyTech,134
LP0060,GPU,GreenCell,460
LP0060,RAM,Samsung,487
LP0060,Keyboard,Kingston,220
LP0060,Motherboard,GreenCell,378
LP0060,Cooling Fan,Kingston,423
LP0061,Cooling Fan,CoolTech,256
LP0061,Touchpad,GreenCell,164
LP0061,Motherboard,Kingston,329
LP0061,Speaker,GreenCell,280
LP0061,Keyboard,VisionDisplay,227
LP0061,GPU,VisionDisplay,186
LP0061,Battery,VisionDisplay,425
LP0062,Speaker,GreenCell,266
LP0062,Cooling Fan,Nvidia,53
LP0062,GPU,Kingston,126
LP0062,SSD,Nvidia,421
LP0062,Keyboard,Nvidia,310
LP0062,Display,Kingston,298
LP0062,Touchpad,KeyTech,108
LP0063,Touchpad,CoolTech,186
LP0063,Cooling Fan,VisionDisplay,440
LP0063,Display,CoolTech,110
LP0063,SSD,Samsung,227
LP0063,GPU,VisionDisplay,326
LP0064,Touchpad,IntelWorks,66
LP0064,GPU,KeyTech,438
LP0064,RAM,GreenCell,474
LP0064,Keyboard,IntelWorks,407
LP0064,Cooling Fan,GreenCell,358
LP0065,Cooling Fan,CoolTech,120
LP0065,Speaker,KeyTech,368
LP0065,SSD,Kingston,173
LP0065,Keyboard,Samsung,490
LP0065,Touchpad,Nvidia,387
LP0065,RAM,Kingston,65
LP0066,Touchpad,Samsung,51
LP0066,Speaker,Kingston,481
LP0066,GPU,IntelWorks,20
LP0066,Cooling Fan,Kingston,76
LP0066,Display,Samsung,463
LP0067,Keyboard,Nvidia,227
LP0067,GPU,Nvidia,242
LP0067,Speaker,KeyTech,359
LP0067,RAM,GreenCell,263
LP0067,Battery,GreenCell,116
LP0068,RAM,VisionDisplay,351
LP0068,GPU,IntelWorks,93
LP0068,Battery,CoolTech,356
LP0068,Cooling Fan,Nvidia,89
LP0068,Touchpad,VisionDisplay,90
LP0068,Display,Nvidia,460
LP0068,SSD,CoolTech,477
LP0068,Motherboard,Nvidia,339
LP0069,Cooling Fan,Kingston,135
LP0069,Speaker,GreenCell,237
LP0069,GPU,IntelWorks,315
LP0069,SSD,CoolTech,453
LP0069,Keyboard,KeyTech,384
LP0069,RAM,Samsung,230
LP0070,Motherboard,VisionDisplay,92
LP0070,Touchpad,Samsung,258
LP0070,Cooling Fan,VisionDisplay,287
LP0070,RAM,VisionDisplay,145
LP0070,Battery,CoolTech,342
LP0070,Speaker,VisionDisplay,370
LP0070,Keyboard,Samsung,333
LP0071,RAM,CoolTech,313
LP0071,Speaker,Kingston,235
LP0071,Motherboard,Kingston,428
LP0071,Keyboard,Samsung,168
LP0071,GPU,GreenCell,38
LP0072,Touchpad,IntelWorks,356
LP0072,SSD,Samsung,434
LP0072,Motherboard,IntelWorks,166
LP0072,RAM,CoolTech,62
LP0072,Keyboard,GreenCell,278
LP0072,Speaker,VisionDisplay,455
LP0072,Display,Samsung,149
LP0073,Touchpad,VisionDisplay,329
LP0073,SSD,GreenCell,485
LP0073,Speaker,GreenCell,357
LP0073,GPU,CoolTech,209
LP0073,Battery,GreenCell,153
LP0073,Motherboard,KeyTech,268
LP0074,Speaker,GreenCell,448
LP0074,Motherboard,CoolTech,405
LP0074,RAM,Nvidia,414
LP0074,Touchpad,Nvidia,141
LP0074,Display,CoolTech,391
LP0074,SSD,GreenCell,127
LP0075,Motherboard,CoolTech,174
LP0075,SSD,CoolTech,402
LP0075,Display,KeyTech,214
LP0075,Touchpad,Nvidia,262
LP0075,Cooling Fan,Samsung,94
LP0075,Keyboard,Nvidia,26
LP0075,Speaker,Samsung,494
LP0076,GPU,Samsung,191
LP0076,RAM,Samsung,156
LP0076,Motherboard,VisionDisplay,150
LP0076,Cooling Fan,Nvidia,256
LP0076,SSD,KeyTech,395
LP0076,Battery,KeyTech,286
LP0076,Keyboard,Kingston,366
LP0076,Speaker,GreenCell,180
LP0077,Motherboard,VisionDisplay,370
LP0077,Display,CoolTech,199
LP0077,Touchpad,KeyTech,391
LP0077,Keyboard,Samsung,148
LP0077,Cooling Fan,KeyTech,37
LP0078,Touchpad,KeyTech,326
LP0078,Display,VisionDisplay,382
LP0078,Motherboard,VisionDisplay,64
LP0078,SSD,GreenCell,212
LP0078,RAM,GreenCell,478
LP0079,Battery,VisionDisplay,347
LP0079,SSD,CoolTech,492
LP0079,Speaker,Samsung,413
LP0079,Keyboard,Nvidia,374
LP0079,RAM,Kingston,151
LP0080,Display,IntelWorks,152
LP0080,SSD,Samsung,111
LP0080,Motherboard,CoolTech,55
LP0080,Keyboard,CoolTech,495
LP0080,GPU,KeyTech,332
LP0080,Battery,Nvidia,111
LP0081,Display,Samsung,72
LP0081,Battery,IntelWorks,57
LP0081,GPU,VisionDisplay,312
LP0081,Touchpad,Samsung,417
LP0081,SSD,CoolTech,29
LP0081,Motherboard,CoolTech,96
LP0081,Keyboard,IntelWorks,497
LP0081,Speaker,IntelWorks,360
LP0082,SSD,Nvidia,226
LP0082,Battery,VisionDisplay,296
LP0082,RAM,KeyTech,21
LP0082,Keyboard,Nvidia,372
LP0082,Touchpad,CoolTech,82
LP0082,Motherboard,Kingston,190
LP0082,GPU,Samsung,225
LP0082,Display,IntelWorks,343
LP0083,RAM,Samsung,351
LP0083,Speaker,KeyTech,110
LP0083,Touchpad,IntelWorks,216
LP0083,Motherboard,KeyTech,173
LP0083,Keyboard,Nvidia,478
LP0084,RAM,KeyTech,91
LP0084,Cooling Fan,IntelWorks,118
LP0084,Display,IntelWorks,388
LP0084,Touchpad,KeyTech,270
LP0084,Keyboard,Nvidia,52
LP0085,Cooling Fan,Kingston,423
LP0085,Speaker,IntelWorks,227
LP0085,Touchpad,VisionDisplay,128
LP0085,Motherboard,CoolTech,367
LP0085,GPU,GreenCell,399
LP0085,Battery,KeyTech,493
LP0085,RAM,VisionDisplay,38
LP0086,Cooling Fan,GreenCell,27
LP0086,Motherboard,GreenCell,343
LP0086,Touchpad,IntelWorks,483
LP0086,SSD,Samsung,440
LP0086,Speaker,VisionDisplay,253
LP0086,Display,GreenCell,447
LP0087,Display,KeyTech,52
LP0087,Touchpad,KeyTech,238
LP0087,Cooling Fan,Kingston,435
LP0087,SSD,Nvidia,186
LP0087,GPU,VisionDisplay,370
LP0088,RAM,VisionDisplay,81
LP0088,Keyboard,Samsung,92
LP0088,Motherboard,Nvidia,106
LP0088,SSD,Kingston,303
LP0088,Display,GreenCell,244
LP0088,Battery,KeyTech,493
LP0089,Battery,IntelWorks,470
LP0089,Display,CoolTech,61
LP0089,GPU,IntelWorks,23
LP0089,Cooling Fan,GreenCell,494
LP0089,Speaker,VisionDisplay,381
LP0090,GPU,Nvidia,142
LP0090,Cooling Fan,GreenCell,332
LP0090,Battery,IntelWorks,325
LP0090,Display,GreenCell,387
LP0090,Touchpad,CoolTech,333
LP0090,Speaker,VisionDisplay,341
LP0090,Keyboard,Samsung,198
LP0091,Motherboard,Kingston,461
LP0091,Speaker,KeyTech,257
LP0091,Keyboard,KeyTech,161
LP0091,Display,IntelWorks,119
LP0091,Touchpad,VisionDisplay,427
LP0091,SSD,GreenCell,370
LP0091,RAM,CoolTech,274
LP0091,Battery,GreenCell,101
LP0092,Motherboard,Samsung,191
LP0092,RAM,CoolTech,42
LP0092,SSD,VisionDisplay,399
LP0092,Display,IntelWorks,493
LP0092,Keyboard,GreenCell,100
LP0093,Cooling Fan,CoolTech,323
LP0093,Speaker,Kingston,234
LP0093,Display,KeyTech,402
LP0093,Motherboard,Kingston,137
LP0093,Touchpad,VisionDisplay,186
LP0094,Display,KeyTech,57
LP0094,Keyboard,CoolTech,319
LP0094,GPU,CoolTech,47
LP0094,Cooling Fan,Nvidia,94
LP0094,Touchpad,KeyTech,495
LP0094,Speaker,CoolTech,111
LP0095,RAM,Kingston,85
LP0095,Battery,IntelWorks,374
LP0095,Cooling Fan,IntelWorks,163
LP0095,Touchpad,GreenCell,76
LP0095,Display,CoolTech,254
LP0095,Speaker,Nvidia,107
LP0095,SSD,Kingston,132
LP0095,Motherboard,Samsung,329
LP0096,Touchpad,CoolTech,461
LP0096,Battery,KeyTech,322
LP0096,Keyboard,CoolTech,448
LP0096,Motherboard,CoolTech,162
LP0096,Cooling Fan,IntelWorks,393
LP0096,SSD,Nvidia,396
LP0097,Keyboard,GreenCell,487
LP0097,RAM,IntelWorks,233
LP0097,GPU,IntelWorks,40
LP0097,SSD,CoolTech,395
LP0097,Display,IntelWorks,237
LP0097,Cooling Fan,Nvidia,265
LP0098,Cooling Fan,IntelWorks,374
LP0098,Touchpad,Nvidia,131
LP0098,Keyboard,GreenCell,203
LP0098,Motherboard,Samsung,142
LP0098,SSD,VisionDisplay,28
LP0099,SSD,CoolTech,415
LP0099,Battery,GreenCell,467
LP0099,Cooling Fan,Nvidia,114
LP0099,GPU,Kingston,340
LP0099,Touchpad,CoolTech,380
LP0099,RAM,IntelWorks,460
LP0099,Motherboard,VisionDisplay,217
LP0099,Display,Kingston,291
LP0100,SSD,KeyTech,423
LP0100,GPU,VisionDisplay,337
LP0100,Touchpad,Kingston,396
LP0100,RAM,IntelWorks,283
LP0100,Cooling Fan,Kingston,474
LP0101,Display,IntelWorks,207
LP0101,GPU,Kingston,109
LP0101,RAM,VisionDisplay,307
LP0101,Keyboard,KeyTech,90
LP0101,SSD,Kingston,142
LP0102,Cooling Fan,Samsung,277
LP0102,Keyboard,Nvidia,161
LP0102,Speaker,IntelWorks,52
LP0102,Battery,Kingston,196
LP0102,GPU,CoolTech,268
LP0103,Cooling Fan,Kingston,429
LP0103,Speaker,VisionDisplay,116
LP0103,SSD,CoolTech,64
LP0103,Keyboard,VisionDisplay,220
LP0103,Touchpad,GreenCell,167
LP0104,Display,GreenCell,274
LP0104,Battery,GreenCell,467
LP0104,SSD,KeyTech,286
LP0104,Motherboard,IntelWorks,170
LP0104,RAM,Nvidia,369
LP0105,Cooling Fan,Samsung,116
LP0105,RAM,VisionDisplay,31
LP0105,GPU,KeyTech,447
LP0105,Keyboard,Kingston,230
LP0105,Speaker,Kingston,355
LP0105,Motherboard,Kingston,268
LP0106,Cooling Fan,CoolTech,210
LP0106,SSD,Samsung,414
LP0106,Battery,IntelWorks,95
LP0106,GPU,Kingston,165
LP0106,Touchpad,CoolTech,105
LP0106,Display,GreenCell,384
LP0106,RAM,Samsung,113
LP0106,Motherboard,GreenCell,449
LP0107,Battery,GreenCell,245
LP0107,Keyboard,Samsung,209
LP0107,Display,GreenCell,125
LP0107,Motherboard,IntelWorks,360
LP0107,Touchpad,Kingston,196
LP0107,SSD,GreenCell,210
LP0108,Speaker,CoolTech,495
LP0108,Battery,Kingston,99
LP0108,SSD,IntelWorks,398
LP0108,Motherboard,Kingston,351
LP0108,GPU,Samsung,262
LP0108,Keyboard,Samsung,406
LP0108,Cooling Fan,GreenCell,429
LP0108,RAM,CoolTech,193
LP0109,Cooling Fan,VisionDisplay,177
LP0109,Motherboard,IntelWorks,225
LP0109,Battery,KeyTech,248
LP0109,RAM,Kingston,67
LP0109,SSD,Kingston,48
LP0110,Touchpad,IntelWorks,62
LP0110,Speaker,CoolTech,366
LP0110,Keyboard,VisionDisplay,282
LP0110,GPU,Nvidia,119
LP0110,Battery,CoolTech,182
LP0110,Display,IntelWorks,485
LP0111,GPU,Samsung,196
LP0111,Battery,Kingston,177
LP0111,Touchpad,CoolTech,467
LP0111,Speaker,VisionDisplay,130
LP0111,Keyboard,CoolTech,399
LP0111,Cooling Fan,Nvidia,431
LP0111,Motherboard,CoolTech,167
LP0112,GPU,VisionDisplay,93
LP0112,Touchpad,KeyTech,175
LP0112,Battery,CoolTech,464
LP0112,Speaker,Kingston,53
LP0112,SSD,Nvidia,65
LP0112,RAM,IntelWorks,229
LP0113,GPU,GreenCell,446
LP0113,Battery,Nvidia,168
LP0113,Cooling Fan,CoolTech,41
LP0113,RAM,Samsung,447
LP0113,SSD,Samsung,272
LP0113,Display,CoolTech,134
LP0113,Touchpad,IntelWorks,425
LP0114,Battery,CoolTech,83
LP0114,SSD,Samsung,233
LP0114,Speaker,GreenCell,271
LP0114,RAM,KeyTech,34
LP0114,GPU,VisionDisplay,411
LP0115,Cooling Fan,Samsung,341
LP0115,Display,CoolTech,375
LP0115,RAM,VisionDisplay,211
LP0115,SSD,IntelWorks,452
LP0115,Keyboard,Samsung,103
LP0115,GPU,IntelWorks,94
LP0115,Touchpad,Kingston,256
LP0116,RAM,Kingston,44
LP0116,Battery,Samsung,169
LP0116,Motherboard,VisionDisplay,283
LP0116,Speaker,KeyTech,412
LP0116,GPU,GreenCell,411
LP0116,Keyboard,VisionDisplay,326
LP0117,Speaker,Samsung,370
LP0117,RAM,Kingston,69
LP0117,Touchpad,Kingston,441
LP0117,GPU,GreenCell,26
LP0117,Cooling Fan,GreenCell,285
LP0117,Battery,Samsung,210
LP0118,GPU,VisionDisplay,233
LP0118,RAM,CoolTech,489
LP0118,Battery,VisionDisplay,79
LP0118,Motherboard,GreenCell,492
LP0118,Display,IntelWorks,265
LP0118,Speaker,Kingston,179
LP0118,SSD,Kingston,91
LP0118,Touchpad,CoolTech,475
LP0119,Battery,GreenCell,372
LP0119,SSD,KeyTech,177
LP0119,Motherboard,GreenCell,127
LP0119,RAM,GreenCell,60
LP0119,Cooling Fan,Nvidia,373
LP0119,Display,VisionDisplay,59
LP0119,Speaker,IntelWorks,416
LP0120,GPU,VisionDisplay,485
LP0120,Motherboard,Samsung,42
LP0120,Keyboard,VisionDisplay,174
LP0120,Speaker,IntelWorks,406
LP0120,Touchpad,VisionDisplay,420
LP0120,SSD,VisionDisplay,491
LP0120,RAM,KeyTech,320
LP0120,Display,KeyTech,114
LP0121,Motherboard,Kingston,102
LP0121,Display,KeyTech,278
LP0121,Battery,VisionDisplay,70
LP0121,GPU,IntelWorks,290
LP0121,RAM,KeyTech,386
LP0121,Cooling Fan,KeyTech,164
