SKU,Product Name,Brand,Category,Launch Year,MSRP,Warranty Claims,Avg Repair Cost,Total Components,Warranty Score,Repair Score,MSRP Score,Circularity Score,Recommendation
LP0015,ProBook 12,Apex,Laptop,2020,1299,68,341.80882352941177,5,0.9066666666666666,0.747613349801863,0.7645673925838729,81.63208893823875,High Priority Buy-Back
LP0016,WorkBook 14,Apex,Laptop,2024,999,50,323.78,8,0.6666666666666666,0.7081802274715661,0.5879929370217775,65.55186160146697,Medium Priority
LP0017,ProBook 13,TechNova,Laptop,2025,999,55,352.27272727272725,5,0.7333333333333333,0.7705002783742941,0.5879929370217775,70.08812979521548,High Priority Buy-Back
LP0018,WorkBook 14,TechNova,Laptop,2020,1699,46,332.4347826086956,6,0.6133333333333333,0.7271101981817489,1.0,76.3466392787858,High Priority Buy-Back
LP0019,AirBook 13,NeoTech,Laptop,2022,1299,46,366.9130434782609,8,0.6133333333333333,0.8025219673627754,0.7645673925838729,71.54601413173279,High Priority Buy-Back
LP0020,UltraBook 14,Apex,Laptop,2020,1699,59,387.9322033898305,5,0.7866666666666666,0.8484956329611341,1.0,86.92153565550069,High Priority Buy-Back
LP0021,StudentBook 14,NeoTech,Laptop,2023,1299,47,325.8085106382979,5,0.6266666666666667,0.7126170398912902,0.7645673925838729,69.38219964092156,Medium Priority
LP0022,AirBook 13,Apex,Laptop,2023,1299,46,327.1521739130435,8,0.6133333333333333,0.7155559359427898,0.7645673925838729,68.93703318913322,Medium Priority
LP0023,ProBook 10,TechNova,Laptop,2020,899,47,357.82978723404256,5,0.6266666666666667,0.782654827721003,0.5291347851677457,64.42035505332913,Medium Priority
LP0024,WorkBook 11,NeoTech,Laptop,2022,1699,60,367.7166666666666,6,0.8,0.8042796733741614,1.0,86.12839020122485,High Priority Buy-Back
LP0025,WorkBook 14,TechNova,Laptop,2024,699,54,332.7037037037037,7,0.72,0.7276983895531577,0.4114184814596822,62.97350613038519,Medium Priority
LP0026,StudentBook 14,ByteCore,Laptop,2019,999,61,342.39344262295083,8,0.8133333333333334,0.7488920442321759,0.5879929370217775,72.63988277095194,High Priority Buy-Back
LP0027,WorkBook 12,NeoTech,Laptop,2019,999,57,388.7719298245614,7,0.76,0.850332304953109,0.5879929370217775,73.54975725924659,High Priority Buy-Back
LP0028,StudentBook 12,TechNova,Laptop,2025,999,42,402.8095238095238,8,0.56,0.8810357038703496,0.5879929370217775,66.4708592267638,Medium Priority
LP0029,StudentBook 13,Apex,Laptop,2021,899,47,385.74468085106383,5,0.6266666666666667,0.8437110254835167,0.5291347851677457,66.25204098620455,Medium Priority
LP0030,StudentBook 10,ByteCore,Laptop,2022,699,46,378.19565217391306,5,0.6133333333333333,0.8271995891817872,0.4114184814596822,61.69187545257741,Medium Priority
LP0031,ProBook 15,ByteCore,Laptop,2020,699,63,373.3015873015873,6,0.84,0.8164951603271813,0.4114184814596822,70.4374092536059,High Priority Buy-Back
LP0032,UltraBook 11,TechNova,Laptop,2024,1299,54,369.2592592592592,7,0.72,0.8076536729205144,0.7645673925838729,75.96663196513161,High Priority Buy-Back
LP0033,ProBook 12,Apex,Laptop,2024,1299,52,405.4230769230769,5,0.6933333333333334,0.8867521367521367,0.7645673925838729,77.27291921341363,High Priority Buy-Back
LP0034,StudentBook 12,ByteCore,Laptop,2023,1699,53,363.7547169811321,5,0.7066666666666667,0.7956139916472706,1.0,82.13508641608477,High Priority Buy-Back
LP0035,WorkBook 13,Apex,Laptop,2024,999,41,356.9024390243902,8,0.5466666666666666,0.780626507052472,0.5879929370217775,62.92524998889415,Medium Priority
LP0036,WorkBook 15,NeoTech,Laptop,2023,1299,48,361.8958333333333,8,0.64,0.7915481918926801,0.7645673925838729,72.28346753429659,High Priority Buy-Back
LP0037,ProBook 13,Apex,Laptop,2019,999,55,368.1818181818182,8,0.7333333333333333,0.8052970651395849,0.5879929370217775,71.1320333981742,High Priority Buy-Back
LP0038,ProBook 13,Apex,Laptop,2019,699,50,449.14,6,0.6666666666666666,0.9823709536307962,0.4114184814596822,68.48034971938102,Medium Priority
LP0039,ProBook 13,TechNova,Laptop,2019,999,44,352.29545454545456,7,0.5866666666666667,0.7705499880696731,0.5879929370217775,64.22295441941019,Medium Priority
LP0040,ProBook 13,ByteCore,Laptop,2024,1299,38,385.1315789473685,8,0.5066666666666667,0.8423700326932819,0.7645673925838729,68.47478942498131,Medium Priority
LP0041,UltraBook 12,NeoTech,Laptop,2020,1299,70,391.37142857142857,8,0.9333333333333333,0.8560179977502812,0.7645673925838729,85.95089504335796,High Priority Buy-Back
LP0042,WorkBook 13,TechNova,Laptop,2019,1299,46,374.2608695652174,8,0.6133333333333333,0.8185933280079121,0.7645673925838729,72.02815495108688,High Priority Buy-Back
LP0043,AirBook 16,NeoTech,Laptop,2022,699,56,325.80357142857144,5,0.7466666666666667,0.71260623672041,0.4114184814596822,63.58740821206943,Medium Priority
LP0044,ProBook 10,NeoTech,Laptop,2024,999,49,374.7755102040816,7,0.6533333333333333,0.819718963700966,0.5879929370217775,68.36469035501564,Medium Priority
LP0045,ProBook 13,Apex,Laptop,2020,1699,50,352.9,6,0.6666666666666666,0.7718722659667542,1.0,79.82283464566929,High Priority Buy-Back
LP0046,WorkBook 12,NeoTech,Laptop,2020,999,44,383.09090909090907,8,0.5866666666666667,0.8379066253082,0.5879929370217775,66.243653536566,Medium Priority
LP0047,WorkBook 13,TechNova,Laptop,2022,1699,56,345.75,6,0.7466666666666667,0.756233595800525,1.0,82.55367454068241,High Priority Buy-Back
LP0048,ProBook 10,TechNova,Laptop,2019,899,46,381.2173913043478,7,0.6133333333333333,0.8338088173760888,0.5291347851677457,65.42164140964837,Medium Priority
LP0049,UltraBook 16,NeoTech,Laptop,2022,899,53,347.58490566037733,5,0.7066666666666667,0.7602469502632925,0.5291347851677457,66.94811872959781,Medium Priority
LP0050,WorkBook 10,Apex,Laptop,2022,699,36,347.3333333333333,6,0.48,0.7596967045785943,0.4114184814596822,54.33345558114829,Medium Priority
LP0051,WorkBook 14,NeoTech,Laptop,2021,1299,44,373.34090909090907,6,0.5866666666666667,0.8165811659906148,0.7645673925838729,70.9011234239013,High Priority Buy-Back
LP0052,StudentBook 17,Apex,Laptop,2020,999,55,360.54545454545456,6,0.7333333333333333,0.7885946074922453,0.5879929370217775,70.63095966875402,High Priority Buy-Back
LP0053,UltraBook 10,TechNova,Laptop,2024,999,54,399.6296296296296,5,0.72,0.8740805547454716,0.5879929370217775,72.66220475301746,High Priority Buy-Back
LP0054,ProBook 10,NeoTech,Laptop,2023,1699,41,378.0975609756098,8,0.5466666666666666,0.8269850415039585,1.0,76.67621791178543,High Priority Buy-Back
LP0055,UltraBook 10,TechNova,Laptop,2025,899,54,343.98148148148147,5,0.72,0.7523654450601082,0.5291347851677457,67.24500690683561,Medium Priority
LP0056,ProBook 11,Apex,Laptop,2022,699,53,333.2641509433962,7,0.7066666666666667,0.7289242146618464,0.4114184814596822,62.476947550312524,Medium Priority
LP0057,StudentBook 13,TechNova,Laptop,2023,699,54,435.9814814814815,5,0.72,0.9535902919542466,0.4114184814596822,69.75026320241786,Medium Priority
LP0058,WorkBook 15,ByteCore,Laptop,2020,999,53,399.245283018868,8,0.7066666666666667,0.8732399016160718,0.5879929370217775,72.10365182580215,High Priority Buy-Back
LP0059,UltraBook 14,NeoTech,Laptop,2020,999,57,319.1929824561403,8,0.76,0.6981473807002194,0.5879929370217775,68.98420953165991,Medium Priority
LP0060,WorkBook 15,TechNova,Laptop,2019,1299,49,373.7755102040816,8,0.6533333333333333,0.8175317371042905,0.7645673925838729,73.59630722397824,High Priority Buy-Back
LP0061,StudentBook 11,TechNova,Laptop,2023,899,52,344.25,7,0.6933333333333334,0.7529527559055118,0.5291347851677457,66.19595956553106,Medium Priority
LP0062,StudentBook 14,Apex,Laptop,2021,699,59,385.7627118644068,7,0.7866666666666666,0.8437504633954654,0.4114184814596822,69.1217350123211,Medium Priority
LP0063,UltraBook 15,ByteCore,Laptop,2020,1299,55,372.6545454545454,5,0.7333333333333333,0.8150799331901694,0.7645673925838729,76.72275310655459,High Priority Buy-Back
LP0064,StudentBook 14,TechNova,Laptop,2024,1699,45,425.6222222222222,5,0.6,0.9309322445805386,1.0,81.92796733741616,High Priority Buy-Back
LP0065,AirBook 11,Apex,Laptop,2021,699,42,300.57142857142856,6,0.56,0.6574178227721534,0.4114184814596822,54.46508912695507,Medium Priority
LP0066,ProBook 12,ByteCore,Laptop,2021,1699,48,395.8333333333333,5,0.64,0.865777194517352,1.0,81.57331583552056,High Priority Buy-Back
LP0067,UltraBook 15,Apex,Laptop,2024,999,52,363.59615384615387,5,0.6933333333333334,0.795267178141194,0.5879929370217775,69.23113678822249,Medium Priority
LP0068,StudentBook 17,ByteCore,Laptop,2025,699,53,350.6792452830189,8,0.7066666666666667,0.7670149721850806,0.4114184814596822,63.61967027600956,Medium Priority
LP0069,ProBook 16,ByteCore,Laptop,2019,699,51,393.6078431372549,6,0.68,0.8609095431698489,0.4114184814596822,65.36984073888593,Medium Priority
LP0070,AirBook 12,ByteCore,Laptop,2020,1299,45,364.6444444444445,7,0.6,0.79756002721882,0.7645673925838729,70.86382259408079,High Priority Buy-Back
LP0071,StudentBook 16,TechNova,Laptop,2019,699,58,407.9655172413793,5,0.7733333333333333,0.8923130298367876,0.4114184814596822,70.04527867222743,High Priority Buy-Back
LP0072,UltraBook 10,ByteCore,Laptop,2023,1699,46,359.2826086956522,7,0.6133333333333333,0.7858324774620564,1.0,78.10830765719503,High Priority Buy-Back
LP0073,UltraBook 16,Apex,Laptop,2019,999,47,385.6595744680851,6,0.6266666666666667,0.8435248785391188,0.5879929370217775,68.01220113349356,Medium Priority
LP0074,AirBook 10,ByteCore,Laptop,2020,899,44,324.0681818181818,6,0.5866666666666667,0.7088105464089716,0.5291347851677457,60.605026613968185,Medium Priority
LP0075,ProBook 15,NeoTech,Laptop,2023,899,43,342.4418604651163,7,0.5733333333333334,0.7489979450243138,0.5291347851677457,61.27731523909512,Medium Priority
LP0076,UltraBook 12,Apex,Laptop,2022,699,51,372.0392156862745,8,0.68,0.813734067555281,0.4114184814596822,63.9545764704489,Medium Priority
LP0077,UltraBook 15,NeoTech,Laptop,2025,899,53,389.9622641509434,5,0.7066666666666667,0.8529358358507073,0.5291347851677457,69.72878529722026,Medium Priority
LP0078,AirBook 12,TechNova,Laptop,2022,699,38,421.9736842105263,5,0.5066666666666667,0.922952065202376,0.4114184814596822,60.29778306652841,Medium Priority
LP0079,WorkBook 13,Apex,Laptop,2025,1299,41,374.8048780487805,5,0.5466666666666666,0.8197831978319784,0.7645673925838729,69.3971843791422,Medium Priority
LP0080,AirBook 14,Apex,Laptop,2020,699,43,390.6511627906977,6,0.5733333333333334,0.8544426132779915,0.4114184814596822,60.90916617546355,Medium Priority
LP0081,UltraBook 16,ByteCore,Laptop,2021,699,54,387.22222222222223,8,0.72,0.8469427432682026,0.4114184814596822,66.55083674183653,Medium Priority
LP0082,AirBook 15,NeoTech,Laptop,2024,1699,60,389.6833333333333,8,0.8,0.852325750947798,1.0,87.56977252843394,High Priority Buy-Back
LP0083,AirBook 10,TechNova,Laptop,2021,899,58,337.1034482758621,5,0.7733333333333333,0.7373216278999608,0.5291347851677457,68.92702572536453,Medium Priority
LP0084,StudentBook 14,TechNova,Laptop,2019,1699,61,366.37704918032784,5,0.8133333333333334,0.8013496263786698,1.0,86.57382212469342,High Priority Buy-Back
LP0085,WorkBook 15,ByteCore,Laptop,2022,1699,46,341.45652173913044,7,0.6133333333333333,0.7468427859561033,1.0,76.93861691201643,High Priority Buy-Back
LP0086,StudentBook 11,NeoTech,Laptop,2023,899,48,379.3958333333333,6,0.64,0.8298246573344998,0.5291347851677457,66.36878327506737,Medium Priority
LP0087,AirBook 10,NeoTech,Laptop,2019,1699,43,324.2558139534884,5,0.5733333333333334,0.7092209404057053,1.0,74.2099615455045,High Priority Buy-Back
LP0088,StudentBook 13,ByteCore,Laptop,2022,699,37,348.9189189189189,6,0.49333333333333335,0.7631647395426923,0.4114184814596822,54.97082996340457,Medium Priority
LP0089,AirBook 15,TechNova,Laptop,2024,999,38,454.578947368421,5,0.5066666666666667,0.9942671639729244,0.5879929370217775,67.73446969650772,Medium Priority
LP0090,StudentBook 14,NeoTech,Laptop,2021,1299,42,316.3095238095238,7,0.56,0.6918406032579261,0.7645673925838729,66.09223987525397,Medium Priority
LP0091,AirBook 12,Apex,Laptop,2022,1299,40,337.15,8,0.5333333333333333,0.7374234470691163,0.7645673925838729,66.39305852292301,Medium Priority
LP0092,UltraBook 14,NeoTech,Laptop,2023,699,53,310.7735849056604,5,0.7066666666666667,0.679732250449826,0.4114184814596822,61.00118862395192,Medium Priority
LP0093,AirBook 14,Apex,Laptop,2022,1699,50,374.12,5,0.6666666666666666,0.8182852143482066,1.0,81.21522309711287,High Priority Buy-Back
LP0094,StudentBook 15,NeoTech,Laptop,2022,1299,46,350.0652173913044,6,0.6133333333333333,0.7656719540492222,0.7645673925838729,70.44051373232618,High Priority Buy-Back
LP0095,UltraBook 17,Apex,Laptop,2024,699,42,382.3809523809524,8,0.56,0.8363537891096947,0.4114184814596822,59.8331681170813,Medium Priority
LP0096,AirBook 15,TechNova,Laptop,2025,899,69,329.18840579710144,6,0.92,0.7200096364765999,0.5291347851677457,74.27433264933036,High Priority Buy-Back
LP0097,AirBook 13,Apex,Laptop,2020,699,51,342.078431372549,6,0.68,0.7482030432470451,0.4114184814596822,61.98864574120182,Medium Priority
LP0098,ProBook 13,NeoTech,Laptop,2023,699,42,354.4047619047619,5,0.56,0.7751635212265134,0.4114184814596822,57.997460080585874,Medium Priority
LP0099,WorkBook 16,Apex,Laptop,2024,1299,47,357.21276595744683,8,0.6266666666666667,0.7813052623741182,0.7645673925838729,71.4428463154064,High Priority Buy-Back
LP0100,WorkBook 16,Apex,Laptop,2020,699,48,347.0,5,0.64,0.7589676290463693,0.4114184814596822,60.71158331518154,Medium Priority
LP0101,ProBook 16,Apex,Laptop,2020,1699,48,413.0416666666667,5,0.64,0.9034157188684748,1.0,82.70247156605424,High Priority Buy-Back
LP0102,WorkBook 10,Apex,Laptop,2025,699,57,388.5964912280702,5,0.76,0.84994858098878,0.4114184814596822,68.24101187345387,Medium Priority
LP0103,WorkBook 12,NeoTech,Laptop,2024,1699,50,363.36,5,0.6666666666666666,0.794750656167979,1.0,80.50918635170603,High Priority Buy-Back
LP0104,StudentBook 15,NeoTech,Laptop,2023,1699,58,355.0689655172414,5,0.7733333333333333,0.7766162850333364,1.0,84.23182188433343,High Priority Buy-Back
LP0105,WorkBook 17,Apex,Laptop,2024,1299,59,352.03389830508473,6,0.7866666666666666,0.7699779053042098,0.7645673925838729,77.50302560330914,High Priority Buy-Back
LP0106,WorkBook 14,Apex,Laptop,2025,999,60,340.1333333333333,8,0.8,0.7439486730825313,0.5879929370217775,71.95824830312927,High Priority Buy-Back
LP0107,StudentBook 17,Apex,Laptop,2021,1299,39,371.4358974358975,6,0.52,0.8124144738317969,0.7645673925838729,68.10945599247009,Medium Priority
LP0108,ProBook 14,Apex,Laptop,2021,999,68,377.4705882352941,8,0.9066666666666666,0.8256137100509495,0.5879929370217775,78.67486607884847,High Priority Buy-Back
LP0109,AirBook 11,Apex,Laptop,2020,899,65,360.6923076923077,5,0.8666666666666667,0.788915808600848,0.5291347851677457,74.20818447972448,High Priority Buy-Back
LP0110,WorkBook 12,Apex,Laptop,2019,1299,54,378.3148148148149,6,0.72,0.8274602248792977,0.7645673925838729,76.56082852389511,High Priority Buy-Back
LP0111,WorkBook 15,NeoTech,Laptop,2022,699,54,349.22222222222223,7,0.72,0.7638281325945369,0.4114184814596822,64.05739842162657,Medium Priority
LP0112,UltraBook 16,NeoTech,Laptop,2025,1699,60,370.15,6,0.8,0.8096019247594051,1.0,86.28805774278217,High Priority Buy-Back
LP0113,ProBook 16,NeoTech,Laptop,2019,999,44,381.8181818181818,7,0.5866666666666667,0.8351228823669768,0.5879929370217775,66.1601412483293,Medium Priority
LP0114,AirBook 16,NeoTech,Laptop,2023,1699,46,391.3043478260869,5,0.6133333333333333,0.8558712769599451,1.0,80.20947164213167,High Priority Buy-Back
LP0115,StudentBook 13,NeoTech,Laptop,2020,999,48,392.6458333333333,7,0.64,0.858805409740449,0.5879929370217775,69.00395040286679,Medium Priority
LP0116,WorkBook 17,TechNova,Laptop,2022,999,45,399.06666666666666,6,0.6,0.8728492271799358,0.5879929370217775,67.82526492605139,Medium Priority
LP0117,WorkBook 12,NeoTech,Laptop,2020,1699,48,375.8333333333333,6,0.64,0.8220326625838437,1.0,80.2609798775153,High Priority Buy-Back
LP0118,StudentBook 10,NeoTech,Laptop,2023,1699,51,347.5098039215686,8,0.68,0.7600826857427135,1.0,80.00248057228141,High Priority Buy-Back
LP0119,ProBook 11,NeoTech,Laptop,2020,1299,41,370.5365853658537,7,0.5466666666666666,0.8104474745534858,0.7645673925838729,69.11711268078743,Medium Priority
LP0120,UltraBook 10,ByteCore,Laptop,2022,999,39,390.71794871794873,8,0.52,0.8545886892343586,0.5879929370217775,64.07744878768408,Medium Priority
LP0121,UltraBook 17,ByteCore,Laptop,2021,1299,57,333.859649122807,7,0.76,0.7302267041181256,0.7645673925838729,75.24382290105997,High Priority Buy-Back
LP0122,AirBook 16,ByteCore,Laptop,2025,699,43,368.3720930232558,5,0.5733333333333334,0.8057132393334554,0.4114184814596822,59.447284957127465,Medium Priority
LP0123,WorkBook 10,TechNova,Laptop,2021,899,46,337.9782608695652,5,0.6133333333333333,0.7392350412720149,0.5291347851677457,62.58442812652615,Medium Priority
LP0124,ProBook 10,TechNova,Laptop,2020,899,42,333.95238095238096,5,0.56,0.7304295296421282,0.5291347851677457,60.186929444296226,Medium Priority
LP0125,ProBook 12,Apex,Laptop,2020,1299,49,368.2040816326531,8,0.6533333333333333,0.8053457603513847,0.7645673925838729,73.23072792139106,High Priority Buy-Back
LP0126,ProBook 13,NeoTech,Laptop,2024,999,46,386.0869565217391,6,0.6133333333333333,0.8444596599338127,0.5879929370217775,67.50691124200104,Medium Priority
LP0127,AirBook 12,TechNova,Laptop,2025,899,54,371.05555555555554,5,0.72,0.8115825799552834,0.5291347851677457,69.02152095369087,Medium Priority
LP0128,AirBook 11,TechNova,Laptop,2021,1699,49,342.1428571428572,8,0.6533333333333333,0.7483439570053745,1.0,78.58365204349458,High Priority Buy-Back
LP0129,WorkBook 16,Apex,Laptop,2019,1699,31,326.96774193548384,5,0.41333333333333333,0.7151525414161939,1.0,67.98790957581915,Medium Priority
LP0130,UltraBook 11,ByteCore,Laptop,2025,1699,45,413.26666666666665,8,0.6,0.9039078448527267,1.0,81.11723534558179,High Priority Buy-Back
LP0131,ProBook 10,ByteCore,Laptop,2023,1299,49,340.3265306122449,5,0.6533333333333333,0.744371239309372,0.7645673925838729,71.40149229013069,High Priority Buy-Back
LP0132,AirBook 11,ByteCore,Laptop,2019,1299,49,400.7959183673469,5,0.6533333333333333,0.8766314924920099,0.7645673925838729,75.36929988560982,High Priority Buy-Back
LP0133,WorkBook 11,NeoTech,Laptop,2021,1299,50,359.6,7,0.6666666666666666,0.7865266841644795,0.7645673925838729,73.19948896911723,High Priority Buy-Back
LP0134,UltraBook 16,Apex,Laptop,2024,1699,48,337.6041666666667,6,0.64,0.7384168124817732,1.0,77.7525043744532,High Priority Buy-Back
LP0135,AirBook 17,NeoTech,Laptop,2022,1699,45,374.22222222222223,8,0.6,0.8185087975114222,1.0,78.55526392534267,High Priority Buy-Back
LP0136,AirBook 15,Apex,Laptop,2025,699,51,350.52941176470586,8,0.68,0.766687252328753,0.4114184814596822,62.543172013653056,Medium Priority
LP0137,AirBook 17,Apex,Laptop,2025,1299,51,366.80392156862746,8,0.68,0.8022832930197451,0.7645673925838729,74.20552056810854,High Priority Buy-Back
LP0138,StudentBook 16,ByteCore,Laptop,2019,1299,55,312.72727272727275,5,0.7333333333333333,0.6840054084148572,0.7645673925838729,72.79051736329524,High Priority Buy-Back
LP0139,AirBook 12,NeoTech,Laptop,2020,999,46,345.1521739130435,5,0.6133333333333333,0.7549260146829473,0.5879929370217775,64.82090188447506,Medium Priority
LP0140,AirBook 15,ByteCore,Laptop,2023,999,57,342.3333333333333,5,0.76,0.7487605715952173,0.5879929370217775,70.50260525850985,High Priority Buy-Back
LP0141,StudentBook 10,Apex,Laptop,2019,899,36,351.4166666666667,6,0.48,0.7686278798483523,0.5291347851677457,58.13287995048294,Medium Priority
LP0142,WorkBook 17,Apex,Laptop,2024,1299,41,404.7560975609756,6,0.5466666666666666,0.8852933017519151,0.7645673925838729,71.3624874967403,High Priority Buy-Back
LP0143,WorkBook 17,TechNova,Laptop,2019,999,51,325.03921568627453,5,0.68,0.7109344175115366,0.5879929370217775,66.16782063599942,Medium Priority
LP0144,UltraBook 16,Apex,Laptop,2021,1699,58,374.91379310344826,6,0.7733333333333333,0.820021419736326,1.0,85.5339759254231,High Priority Buy-Back
LP0145,AirBook 17,ByteCore,Laptop,2022,1699,65,394.8615384615385,6,0.8666666666666667,0.8636516589272496,1.0,90.57621643448415,High Priority Buy-Back
LP0146,AirBook 15,NeoTech,Laptop,2021,999,53,345.41509433962267,8,0.7066666666666667,0.7555010812327705,0.5879929370217775,68.5714872143031,Medium Priority
LP0147,AirBook 13,TechNova,Laptop,2024,899,44,360.34090909090907,5,0.5866666666666667,0.7881472202338343,0.5291347851677457,62.985126828714066,Medium Priority
LP0148,AirBook 11,Apex,Laptop,2020,899,38,372.5,6,0.5066666666666667,0.8147419072615923,0.5291347851677457,60.582967439546806,Medium Priority
LP0149,WorkBook 14,ByteCore,Laptop,2019,899,46,340.19565217391306,6,0.6133333333333333,0.7440849785081213,0.5291347851677457,62.729926243609334,Medium Priority
LP0150,AirBook 13,ByteCore,Laptop,2020,999,49,360.48979591836735,6,0.6533333333333333,0.7884728694627458,0.5879929370217775,67.42730752786903,Medium Priority
LP0151,ProBook 12,ByteCore,Laptop,2019,699,47,360.25531914893617,8,0.6266666666666667,0.7879600156363433,0.4114184814596822,61.04802157954743,Medium Priority
LP0152,StudentBook 14,Apex,Laptop,2024,1299,46,405.3695652173913,7,0.6133333333333333,0.8866350945262277,0.7645673925838729,74.06940794663635,High Priority Buy-Back
LP0153,ProBook 10,ByteCore,Laptop,2022,1299,66,370.8181818181818,6,0.88,0.8110633898035473,0.7645673925838729,82.46892347162262,High Priority Buy-Back
LP0154,WorkBook 15,Apex,Laptop,2019,999,67,389.13432835820896,6,0.8933333333333333,0.8511249526644991,0.5879929370217775,78.90687002392163,High Priority Buy-Back
LP0155,WorkBook 11,TechNova,Laptop,2022,1299,46,367.6521739130435,8,0.6133333333333333,0.8041386131081442,0.7645673925838729,71.59451350409384,High Priority Buy-Back
LP0156,ProBook 10,Apex,Laptop,2020,1699,49,294.1428571428572,7,0.6533333333333333,0.6433570803649545,1.0,75.43404574428196,High Priority Buy-Back
LP0157,AirBook 11,Apex,Laptop,2019,1699,50,369.22,8,0.6666666666666666,0.807567804024497,1.0,80.89370078740157,High Priority Buy-Back
LP0158,WorkBook 13,NeoTech,Laptop,2022,1299,47,373.25531914893617,8,0.6266666666666667,0.8163939613931237,0.7645673925838729,72.49550728597657,High Priority Buy-Back
LP0159,AirBook 16,ByteCore,Laptop,2023,1699,51,358.5098039215686,8,0.68,0.7841421783061431,1.0,80.7242653491843,High Priority Buy-Back
LP0160,ProBook 11,Apex,Laptop,2024,899,46,344.2173913043478,6,0.6133333333333333,0.7528814332990985,0.5291347851677457,62.99381988733865,Medium Priority
LP0161,AirBook 11,Apex,Laptop,2020,899,55,395.8909090909091,7,0.7333333333333333,0.8659031257456454,0.5291347851677457,71.18447066073507,High Priority Buy-Back
LP0162,StudentBook 11,Apex,Laptop,2019,1299,55,348.2909090909091,7,0.7333333333333333,0.7617911397438957,0.7645673925838729,75.12408930316639,High Priority Buy-Back
LP0163,WorkBook 17,ByteCore,Laptop,2019,899,38,395.7368421052632,7,0.5066666666666667,0.8655661463369712,0.5291347851677457,62.10769461180817,Medium Priority
LP0164,AirBook 14,NeoTech,Laptop,2019,899,38,328.6578947368421,6,0.5066666666666667,0.7188492885757701,0.5291347851677457,57.70618887897214,Medium Priority
LP0165,AirBook 13,NeoTech,Laptop,2019,1699,53,321.60377358490564,6,0.7066666666666667,0.703420327176084,1.0,79.36927648194919,High Priority Buy-Back
LP0166,UltraBook 12,ByteCore,Laptop,2025,899,52,397.96153846153845,8,0.6933333333333334,0.8704320613769433,0.5291347851677457,69.720338729674,Medium Priority
LP0167,ProBook 10,Apex,Laptop,2025,999,52,364.1538461538461,6,0.6933333333333334,0.7964869775893396,0.5879929370217775,69.26773077166685,Medium Priority
LP0168,StudentBook 14,NeoTech,Laptop,2019,1299,54,381.6111111111111,6,0.72,0.8346699718090794,0.7645673925838729,76.77712093178857,High Priority Buy-Back
LP0169,AirBook 16,ByteCore,Laptop,2023,1699,39,363.948717948718,7,0.52,0.7960383157233553,1.0,74.68114947170066,High Priority Buy-Back
LP0170,WorkBook 17,TechNova,Laptop,2023,699,52,340.0769230769231,7,0.6933333333333334,0.7438252910693857,0.4114184814596822,62.390646509205375,Medium Priority
LP0171,WorkBook 15,ByteCore,Laptop,2019,699,48,372.9791666666667,7,0.64,0.815789953339166,0.4114184814596822,62.416253043965455,Medium Priority
