Claim_ID,SKU,Component Failed,Days After Purchase,Repair Cost
W000126,LP0299,Battery,71,241
W000127,LP0736,Touchpad,490,119
W000128,LP0691,Keyboard,679,339
W000129,LP0704,Touchpad,49,145
W000130,LP0290,RAM,867,490
W000131,LP0028,GPU,377,95
W000132,LP0632,RAM,909,224
W000133,LP0003,RAM,539,651
W000134,LP0544,Battery,566,267
W000135,LP0575,Speaker,579,281
W000136,LP0832,Motherboard,310,107
W000137,LP0478,Speaker,238,454
W000138,LP0483,Speaker,21,425
W000139,LP0650,GPU,565,257
W000140,LP0695,Display,713,690
W000141,LP0541,Touchpad,116,135
W000142,LP0389,SSD,300,699
W000143,LP0524,Display,682,31
W000144,LP0205,Cooling Fan,104,147
W000145,LP0488,Motherboard,329,452
W000146,LP0646,SSD,97,486
W000147,LP0901,Motherboard,426,61
W000148,LP0526,Speaker,74,560
W000149,LP0656,Display,940,193
W000150,LP0412,Battery,1092,199
W000151,LP0616,GPU,366,696
W000152,LP0892,SSD,622,569
W000153,LP0335,Motherboard,49,498
W000154,LP0151,Speaker,1049,623
W000155,LP0990,RAM,386,686
W000156,LP0663,Cooling Fan,574,120
W000157,LP0078,GPU,14,463
W000158,LP0960,Touchpad,240,644
W000159,LP0906,GPU,235,205
W000160,LP0820,Cooling Fan,841,431
W000161,LP0136,Motherboard,77,573
W000162,LP0137,Motherboard,501,669
W000163,LP0123,Cooling Fan,126,680
W000164,LP0776,Battery,872,229
W000165,LP0689,SSD,584,305
W000166,LP0224,RAM,791,675
W000167,LP0667,Battery,528,372
W000168,LP0535,Cooling Fan,22,113
W000169,LP0183,Motherboard,614,176
W000170,LP0306,Battery,775,250
W000171,LP0418,Touchpad,48,629
W000172,LP0093,Battery,466,499
W000173,LP0373,Keyboard,28,217
W000174,LP0565,SSD,934,444
W000175,LP0843,Motherboard,521,654
W000176,LP0386,Cooling Fan,11,165
W000177,LP0941,SSD,506,414
W000178,LP0326,Battery,641,73
W000179,LP0361,RAM,465,465
W000180,LP0262,Speaker,172,575
W000181,LP0835,Cooling Fan,762,315
W000182,LP0696,Motherboard,507,439
W000183,LP0847,SSD,1054,589
W000184,LP0151,Display,731,613
W000185,LP0463,Cooling Fan,519,560
W000186,LP0379,SSD,829,450
W000187,LP0156,Keyboard,270,266
W000188,LP0439,Motherboard,790,442
W000189,LP0827,Cooling Fan,1093,447
W000190,LP0291,Touchpad,160,162
W000191,LP0382,Touchpad,645,610
W000192,LP0837,Cooling Fan,366,168
W000193,LP0767,Motherboard,535,220
W000194,LP0620,Speaker,802,218
W000195,LP0170,GPU,273,41
W000196,LP0394,GPU,825,104
W000197,LP0990,Cooling Fan,845,211
W000198,LP0194,RAM,782,654
W000199,LP0605,Touchpad,326,632
W000200,LP0937,Touchpad,517,250
W000201,LP0329,Speaker,987,439
W000202,LP0570,Speaker,960,537
W000203,LP0462,Touchpad,393,411
W000204,LP0939,GPU,35,338
W000205,LP0125,Keyboard,531,567
W000206,LP0177,Motherboard,1081,287
W000207,LP0917,Touchpad,515,127
W000208,LP0336,Keyboard,1091,224
W000209,LP1000,Touchpad,183,188
W000210,LP0130,GPU,30,60
W000211,LP0005,Display,603,334
W000212,LP0051,Cooling Fan,826,180
W000213,LP0861,Touchpad,147,342
W000214,LP0759,Keyboard,79,321
W000215,LP0749,Touchpad,154,252
W000216,LP0308,Display,44,239
W000217,LP0529,Touchpad,1025,359
W000218,LP0156,Speaker,972,165
W000219,LP0034,Touchpad,900,689
W000220,LP0336,GPU,618,193
W000221,LP0761,Battery,617,41
W000222,LP0338,Touchpad,319,86
W000223,LP0532,Battery,488,374
W000224,LP0852,Keyboard,73,613
W000225,LP0955,Cooling Fan,883,468
W000226,LP0624,Display,544,602
W000227,LP0928,Touchpad,830,158
W000228,LP0938,Touchpad,79,694
W000229,LP0878,RAM,833,576
W000230,LP0135,Motherboard,184,515
W000231,LP0675,RAM,513,673
W000232,LP0958,Motherboard,928,660
W000233,LP0419,GPU,215,568
W000234,LP0441,Touchpad,692,521
W000235,LP0157,SSD,23,347
W000236,LP0254,SSD,1015,293
W000237,LP0124,Battery,661,260
W000238,LP0988,Display,407,523
W000239,LP0677,Touchpad,656,444
W000240,LP0100,Motherboard,116,538
W000241,LP0502,Cooling Fan,412,687
W000242,LP0174,Display,1026,388
W000243,LP0064,Keyboard,868,118
W000244,LP0776,Touchpad,377,76
W000245,LP0151,RAM,155,634
W000246,LP0204,Speaker,1001,228
W000247,LP0216,Cooling Fan,92,224
W000248,LP0306,Battery,611,347
W000249,LP0282,Cooling Fan,596,593
W000250,LP0624,Motherboard,564,535
W000251,LP0442,Motherboard,919,577
W000252,LP0426,Battery,471,352
W000253,LP0068,Motherboard,973,453
W000254,LP0330,Display,156,512
W000255,LP0645,Motherboard,741,121
W000256,LP0495,Keyboard,350,581
W000257,LP0608,RAM,170,304
W000258,LP0361,GPU,404,291
W000259,LP0038,Touchpad,160,601
W000260,LP0814,RAM,1052,31
W000261,LP0353,RAM,171,127
W000262,LP0329,Cooling Fan,543,307
W000263,LP0736,Touchpad,813,404
W000264,LP0255,Touchpad,249,437
W000265,LP0049,Cooling Fan,978,32
W000266,LP0052,SSD,33,631
W000267,LP0252,Motherboard,647,356
W000268,LP0915,SSD,250,582
W000269,LP0283,Motherboard,519,648
W000270,LP0946,Speaker,316,212
W000271,LP0084,Speaker,59,244
W000272,LP0603,GPU,816,194
W000273,LP0786,Motherboard,498,556
W000274,LP0381,Speaker,827,315
W000275,LP0644,Motherboard,920,576
W000276,LP0554,Motherboard,320,431
W000277,LP0330,Battery,702,122
W000278,LP0995,GPU,588,477
W000279,LP0727,Touchpad,433,238
W000280,LP0740,Keyboard,711,457
W000281,LP0136,Keyboard,123,224
W000282,LP0620,Cooling Fan,624,299
W000283,LP0871,Motherboard,1040,549
W000284,LP0922,Motherboard,894,529
W000285,LP0044,Speaker,999,73
W000286,LP0611,Battery,94,150
W000287,LP0614,Touchpad,199,583
W000288,LP0860,SSD,465,110
W000289,LP0095,Keyboard,307,429
W000290,LP0388,Display,207,373
W000291,LP0551,SSD,703,604
W000292,LP0049,RAM,343,438
W000293,LP0247,Battery,254,144
W000294,LP0609,GPU,76,332
W000295,LP0466,Battery,310,48
W000296,LP0322,Keyboard,973,37
W000297,LP0488,Cooling Fan,568,402
W000298,LP0729,SSD,616,521
W000299,LP0744,Motherboard,291,685
W000300,LP0917,Keyboard,173,484
W000301,LP0769,Display,602,429
W000302,LP0764,Display,704,279
W000303,LP0591,SSD,872,527
W000304,LP0824,GPU,845,165
W000305,LP0894,GPU,378,284
W000306,LP0335,Touchpad,779,32
W000307,LP0373,Keyboard,37,171
W000308,LP0768,GPU,160,577
W000309,LP0309,Motherboard,275,412
W000310,LP0498,Speaker,928,36
W000311,LP0222,GPU,1068,440
W000312,LP0050,RAM,116,432
W000313,LP0243,Motherboard,821,435
W000314,LP0245,GPU,27,409
W000315,LP0046,Battery,189,692
W000316,LP0649,GPU,554,38
W000317,LP0639,Speaker,257,41
W000318,LP0881,Keyboard,99,636
W000319,LP0122,Battery,130,272
W000320,LP0655,Motherboard,303,403
W000321,LP0139,Motherboard,547,377
W000322,LP0162,Keyboard,952,409
W000323,LP0583,Cooling Fan,760,266
W000324,LP0879,Display,392,431
W000325,LP0043,Motherboard,891,74
W000326,LP0137,Cooling Fan,724,534
W000327,LP0957,SSD,668,293
W000328,LP0831,SSD,290,74
W000329,LP0327,SSD,586,322
W000330,LP0948,RAM,471,556
W000331,LP0093,Display,43,675
W000332,LP0575,Display,807,386
W000333,LP0645,RAM,1094,246
W000334,LP0291,SSD,686,437
W000335,LP0416,Battery,353,641
W000336,LP0814,RAM,315,156
W000337,LP0506,Touchpad,1023,83
W000338,LP0323,GPU,788,42
W000339,LP0241,GPU,220,460
W000340,LP0861,Battery,644,584
W000341,LP0434,Motherboard,926,40
W000342,LP0304,Cooling Fan,325,461
W000343,LP0924,GPU,42,164
W000344,LP0202,RAM,138,404
W000345,LP0517,RAM,65,102
W000346,LP0384,Keyboard,18,99
W000347,LP0452,Keyboard,194,463
W000348,LP0509,Display,657,463
W000349,LP0056,RAM,1088,480
W000350,LP0586,Motherboard,774,162
W000351,LP0184,SSD,628,106
W000352,LP0215,Keyboard,678,344
W000353,LP0453,Touchpad,553,87
W000354,LP0727,GPU,551,404
W000355,LP0219,Display,665,508
W000356,LP0598,Motherboard,663,501
W000357,LP0127,Touchpad,173,688
W000358,LP0955,Speaker,824,475
W000359,LP0988,SSD,838,624
W000360,LP0220,GPU,686,427
W000361,LP0907,Display,491,229
W000362,LP0903,RAM,1023,300
W000363,LP0643,Speaker,952,435
W000364,LP0561,Motherboard,776,509
W000365,LP0051,Battery,507,519
W000366,LP0868,Cooling Fan,191,585
W000367,LP0272,Keyboard,22,687
W000368,LP0103,Touchpad,390,197
W000369,LP0027,Touchpad,747,472
W000370,LP0501,Keyboard,454,224
W000371,LP0871,Battery,991,247
W000372,LP0806,Battery,440,609
W000373,LP0882,GPU,602,295
W000374,LP0041,Battery,283,359
W000375,LP0246,Battery,818,501
W000376,LP0386,Touchpad,392,294
W000377,LP0170,Cooling Fan,979,272
W000378,LP0637,Battery,468,577
W000379,LP0889,RAM,298,77
W000380,LP0140,Keyboard,383,52
W000381,LP0590,Display,524,30
W000382,LP0067,GPU,396,263
W000383,LP0780,Battery,1067,315
W000384,LP0301,Battery,445,334
W000385,LP0507,Display,1085,182
W000386,LP0911,Touchpad,28,524
W000387,LP0340,RAM,182,366
W000388,LP0863,SSD,710,159
W000389,LP0919,GPU,127,483
W000390,LP0332,GPU,152,236
W000391,LP0565,Keyboard,264,60
W000392,LP0004,GPU,592,281
W000393,LP0219,Battery,387,472
W000394,LP0641,Battery,272,534
W000395,LP0461,Cooling Fan,966,253
W000396,LP0209,Display,858,548
W000397,LP0717,Motherboard,825,441
W000398,LP0951,SSD,989,58
W000399,LP0948,Cooling Fan,17,242
W000400,LP0572,RAM,117,273
W000401,LP0388,Motherboard,696,659
W000402,LP0321,Battery,1041,341
W000403,LP0139,SSD,183,68
W000404,LP0656,Cooling Fan,619,84
W000405,LP0136,Cooling Fan,563,48
W000406,LP0692,GPU,979,405
W000407,LP0519,Battery,886,494
W000408,LP0431,Battery,770,612
W000409,LP0949,Motherboard,890,193
W000410,LP0015,Motherboard,511,444
W000411,LP0196,Speaker,740,679
W000412,LP0868,GPU,547,451
W000413,LP0747,Display,589,617
W000414,LP0459,SSD,655,639
W000415,LP0498,Touchpad,437,136
W000416,LP0536,Keyboard,1002,618
W000417,LP0859,Speaker,578,642
W000418,LP0809,Display,537,643
W000419,LP0936,Speaker,885,65
W000420,LP0604,Touchpad,655,351
W000421,LP0015,SSD,435,176
W000422,LP0844,GPU,903,333
W000423,LP0222,Battery,279,257
W000424,LP0999,Touchpad,536,420
W000425,LP0104,Battery,216,190
W000426,LP0736,Speaker,162,136
W000427,LP0338,Touchpad,600,605
W000428,LP0956,RAM,476,287
W000429,LP0017,Motherboard,159,216
W000430,LP0702,Cooling Fan,904,197
W000431,LP0141,Keyboard,632,539
W000432,LP0308,Battery,340,379
W000433,LP0408,Cooling Fan,1042,533
W000434,LP0066,Speaker,1036,568
W000435,LP0145,Battery,429,491
W000436,LP0539,Speaker,999,89
W000437,LP0338,Speaker,604,99
W000438,LP0398,Speaker,111,423
W000439,LP0715,Display,419,291
W000440,LP0590,RAM,830,343
W000441,LP0479,Touchpad,565,430
W000442,LP0026,RAM,1065,468
W000443,LP0704,Cooling Fan,561,610
W000444,LP0794,GPU,404,584
W000445,LP0248,Motherboard,920,187
W000446,LP0207,GPU,254,81
W000447,LP0860,Speaker,131,617
W000448,LP0902,Battery,864,115
W000449,LP0394,GPU,281,37
W000450,LP0102,GPU,670,394
W000451,LP0923,RAM,930,548
W000452,LP0417,SSD,686,541
W000453,LP0682,Speaker,826,360
W000454,LP0336,RAM,1020,390
W000455,LP0103,Battery,531,511
W000456,LP0442,SSD,21,37
W000457,LP0054,GPU,1082,487
W000458,LP0346,Speaker,859,573
W000459,LP0877,Battery,606,88
W000460,LP0366,Display,859,421
W000461,LP0362,SSD,675,139
W000462,LP0158,Battery,535,339
W000463,LP0267,Display,1059,632
W000464,LP0627,Cooling Fan,616,35
W000465,LP0148,Keyboard,422,571
W000466,LP0417,Speaker,882,47
W000467,LP0525,Keyboard,661,511
W000468,LP0889,Motherboard,140,493
W000469,LP0021,Keyboard,846,228
W000470,LP0047,Touchpad,620,304
W000471,LP0158,Keyboard,1059,688
W000472,LP0422,Motherboard,365,76
W000473,LP0817,RAM,109,583
W000474,LP0627,Speaker,467,61
W000475,LP0624,SSD,151,247
W000476,LP0276,Touchpad,34,627
W000477,LP0789,GPU,145,651
W000478,LP0488,Touchpad,1002,619
W000479,LP0899,Cooling Fan,286,309
W000480,LP0345,Battery,560,142
W000481,LP0215,RAM,807,654
W000482,LP0277,Speaker,36,335
W000483,LP0326,Motherboard,960,239
W000484,LP0363,GPU,1017,336
W000485,LP0522,Motherboard,669,540
W000486,LP0656,Keyboard,524,49
W000487,LP0910,RAM,102,173
W000488,LP0674,GPU,12,202
W000489,LP0735,Touchpad,523,306
W000490,LP0151,Motherboard,487,122
W000491,LP0363,Speaker,296,370
W000492,LP0534,SSD,45,509
W000493,LP0196,SSD,324,71
W000494,LP0233,Display,911,500
W000495,LP0483,SSD,904,501
W000496,LP0372,Touchpad,758,146
W000497,LP0673,SSD,146,555
W000498,LP0921,GPU,557,565
W000499,LP0739,Battery,422,33
W000500,LP0513,Speaker,274,650
W000501,LP0328,Speaker,821,556
W000502,LP0826,SSD,227,614
W000503,LP0431,Battery,511,692
W000504,LP0785,Keyboard,354,469
W000505,LP0032,RAM,781,667
W000506,LP0775,SSD,349,500
W000507,LP0431,Cooling Fan,609,558
W000508,LP0215,Display,918,227
W000509,LP0717,Motherboard,796,442
W000510,LP0187,Touchpad,447,687
W000511,LP0937,Display,770,124
W000512,LP0832,Speaker,194,509
W000513,LP0554,Speaker,316,331
W000514,LP0798,Battery,791,400
W000515,LP0842,RAM,649,454
W000516,LP0638,Speaker,57,460
W000517,LP0951,Battery,492,166
W000518,LP0472,Battery,460,699
W000519,LP0486,Display,932,669
W000520,LP0515,Touchpad,65,185
W000521,LP0906,Battery,476,512
W000522,LP0696,Touchpad,125,66
W000523,LP0726,GPU,657,309
W000524,LP0894,Speaker,927,86
W000525,LP0688,Speaker,584,507
W000526,LP0458,Touchpad,671,295
W000527,LP0073,Cooling Fan,871,538
W000528,LP0322,RAM,424,637
W000529,LP0538,Display,91,493
W000530,LP0767,Keyboard,957,556
W000531,LP0068,RAM,142,358
W000532,LP0506,Touchpad,128,601
W000533,LP0595,SSD,766,552
W000534,LP0624,GPU,353,444
W000535,LP0847,Speaker,440,547
W000536,LP0270,Speaker,1058,483
W000537,LP0421,Keyboard,1085,53
W000538,LP0882,Battery,44,520
W000539,LP0409,Display,319,273
W000540,LP0608,GPU,232,214
W000541,LP0118,Touchpad,67,677
W000542,LP0871,RAM,190,590
W000543,LP0900,Speaker,214,188
W000544,LP0951,Touchpad,1081,689
W000545,LP0397,Display,1056,167
W000546,LP0836,Motherboard,1010,37
W000547,LP0938,GPU,804,640
W000548,LP0038,Display,106,495
W000549,LP0601,Battery,459,522
W000550,LP0799,Battery,304,426
W000551,LP0567,Touchpad,483,259
W000552,LP0282,Speaker,904,341
W000553,LP0623,Cooling Fan,104,278
W000554,LP0731,RAM,100,460
W000555,LP0503,RAM,952,553
W000556,LP0629,GPU,1072,260
W000557,LP0998,Keyboard,702,392
W000558,LP0708,Cooling Fan,37,528
W000559,LP0453,Keyboard,217,204
W000560,LP0861,Keyboard,215,360
W000561,LP0338,RAM,97,355
W000562,LP0451,Motherboard,742,160
W000563,LP0660,Display,1084,519
W000564,LP0633,Touchpad,465,558
W000565,LP0281,SSD,549,75
W000566,LP0319,RAM,1052,580
W000567,LP0215,Display,166,348
W000568,LP0066,SSD,999,82
W000569,LP0668,Display,322,262
W000570,LP0664,RAM,110,233
W000571,LP0411,Speaker,919,146
W000572,LP0333,GPU,162,68
W000573,LP0597,Cooling Fan,932,662
W000574,LP0458,Speaker,119,175
W000575,LP0238,SSD,556,395
W000576,LP0437,Speaker,607,299
W000577,LP0422,Cooling Fan,610,55
W000578,LP0937,Keyboard,876,467
W000579,LP0977,SSD,54,97
W000580,LP0443,Keyboard,285,657
W000581,LP0327,Cooling Fan,457,540
W000582,LP0519,Keyboard,253,393
W000583,LP0597,Cooling Fan,759,493
W000584,LP0724,Battery,311,479
W000585,LP0240,Display,1052,432
W000586,LP0985,Speaker,436,68
W000587,LP0140,Touchpad,191,369
W000588,LP0573,RAM,633,687
W000589,LP0168,Keyboard,474,209
W000590,LP0308,Display,779,411
W000591,LP0071,Speaker,720,671
W000592,LP0757,SSD,516,627
W000593,LP0444,GPU,59,507
W000594,LP0933,Keyboard,624,328
W000595,LP0814,GPU,974,290
W000596,LP0399,Battery,260,383
W000597,LP0761,Touchpad,740,587
W000598,LP0291,Display,1007,304
W000599,LP0759,Touchpad,245,464
W000600,LP0066,Cooling Fan,16,374
W000601,LP0014,Battery,349,108
W000602,LP0526,Display,838,608
W000603,LP0566,Display,597,131
W000604,LP0234,SSD,570,521
W000605,LP0396,Motherboard,532,605
W000606,LP0209,Cooling Fan,931,324
W000607,LP0027,Battery,266,578
W000608,LP0415,SSD,504,236
W000609,LP0790,Motherboard,320,464
W000610,LP0985,RAM,70,618
W000611,LP0744,Touchpad,797,221
W000612,LP0120,Speaker,396,455
W000613,LP0387,Cooling Fan,951,156
W000614,LP0615,GPU,860,453
W000615,LP0446,Display,13,172
W000616,LP0321,GPU,502,314
W000617,LP0179,Motherboard,285,161
W000618,LP0137,Keyboard,560,658
W000619,LP0603,Speaker,91,104
W000620,LP0922,Keyboard,906,463
W000621,LP0568,Keyboard,872,529
W000622,LP0367,Touchpad,43,126
W000623,LP0486,Cooling Fan,157,365
W000624,LP0154,SSD,575,443
W000625,LP0124,SSD,611,57
W000626,LP0632,Battery,442,281
W000627,LP0796,RAM,138,498
W000628,LP0312,GPU,748,474
W000629,LP0903,SSD,296,415
W000630,LP0834,Motherboard,235,592
W000631,LP0393,Keyboard,1012,161
W000632,LP0389,Keyboard,146,611
W000633,LP0599,RAM,791,657
W000634,LP0649,RAM,739,626
W000635,LP0777,Battery,384,527
W000636,LP0702,Cooling Fan,779,299
W000637,LP0832,Display,621,652
W000638,LP0047,Motherboard,453,590
W000639,LP0332,Motherboard,376,372
W000640,LP0352,Display,436,307
W000641,LP0799,SSD,533,592
W000642,LP0409,Cooling Fan,298,214
W000643,LP0547,Speaker,478,616
W000644,LP0001,SSD,970,276
W000645,LP0980,Keyboard,145,288
W000646,LP0948,RAM,575,417
W000647,LP0749,Display,775,523
W000648,LP0300,Touchpad,415,182
W000649,LP0367,Display,244,296
W000650,LP0714,Touchpad,947,568
W000651,LP0530,Cooling Fan,658,248
W000652,LP0066,Battery,26,326
W000653,LP0015,Touchpad,669,322
W000654,LP0250,Cooling Fan,1024,696
W000655,LP0446,GPU,204,556
W000656,LP0199,Motherboard,1092,412
W000657,LP0515,Motherboard,132,132
W000658,LP0741,Speaker,993,279
W000659,LP0088,SSD,432,626
W000660,LP0087,RAM,198,96
W000661,LP0257,Keyboard,897,522
W000662,LP0548,GPU,359,676
W000663,LP0107,Motherboard,1005,591
W000664,LP0080,Speaker,944,129
W000665,LP0047,Touchpad,840,676
W000666,LP0538,RAM,876,338
W000667,LP0132,RAM,940,84
W000668,LP0417,Speaker,14,176
W000669,LP0885,GPU,415,280
W000670,LP0947,Display,772,299
W000671,LP0184,Keyboard,35,443
W000672,LP0035,Motherboard,388,229
W000673,LP0056,Battery,1038,472
W000674,LP0896,RAM,696,49
W000675,LP0692,RAM,292,202
W000676,LP0296,Display,206,326
W000677,LP0808,Battery,65,443
W000678,LP0419,Cooling Fan,85,135
W000679,LP0323,Display,534,357
W000680,LP0757,Touchpad,300,49
W000681,LP0098,GPU,879,285
W000682,LP0211,Speaker,298,161
W000683,LP0139,Battery,579,68
W000684,LP0033,RAM,485,631
W000685,LP0134,Battery,370,78
W000686,LP0382,GPU,296,700
W000687,LP0029,Display,104,107
W000688,LP0117,Keyboard,534,577
W000689,LP0315,Keyboard,467,619
W000690,LP0104,Keyboard,476,687
W000691,LP0179,RAM,381,559
W000692,LP0388,Display,449,192
W000693,LP0250,Touchpad,530,373
W000694,LP0853,GPU,590,371
W000695,LP0130,Keyboard,633,220
W000696,LP0513,GPU,621,335
W000697,LP0625,Cooling Fan,886,35
W000698,LP0178,SSD,1058,470
W000699,LP0440,Keyboard,558,208
W000700,LP0764,Motherboard,740,283
W000701,LP0448,Cooling Fan,979,670
W000702,LP0927,Keyboard,576,616
W000703,LP0564,RAM,373,666
W000704,LP0484,Keyboard,739,444
W000705,LP0855,Display,695,211
W000706,LP0393,GPU,769,370
W000707,LP0577,Display,557,529
W000708,LP0783,GPU,332,408
W000709,LP0807,Keyboard,1056,92
W000710,LP0635,GPU,862,337
W000711,LP0108,SSD,978,408
W000712,LP0225,Keyboard,838,625
W000713,LP0715,RAM,336,325
W000714,LP0900,Cooling Fan,564,433
W000715,LP0445,RAM,487,376
W000716,LP0214,Speaker,845,160
W000717,LP0781,Touchpad,704,285
W000718,LP0158,SSD,424,427
W000719,LP0506,Touchpad,318,334
W000720,LP0106,RAM,982,113
W000721,LP0161,Cooling Fan,866,231
W000722,LP0763,Speaker,469,361
W000723,LP0278,Keyboard,596,450
W000724,LP0562,RAM,1034,469
W000725,LP0253,Touchpad,63,452
W000726,LP0804,Display,815,581
W000727,LP0151,SSD,973,634
W000728,LP0655,Keyboard,168,455
W000729,LP0099,RAM,469,542
W000730,LP0086,Display,816,557
W000731,LP0672,Keyboard,955,120
W000732,LP0030,Keyboard,57,539
W000733,LP0826,Keyboard,980,163
W000734,LP0389,Motherboard,975,200
W000735,LP0794,Motherboard,205,310
W000736,LP0550,Touchpad,877,523
W000737,LP0982,Speaker,49,599
W000738,LP0918,Battery,801,311
W000739,LP0588,Keyboard,251,164
W000740,LP0126,SSD,825,231
W000741,LP0607,SSD,915,436
W000742,LP0189,RAM,579,177
W000743,LP0767,Touchpad,346,427
W000744,LP0863,SSD,715,445
W000745,LP0211,Keyboard,232,501
W000746,LP0143,Touchpad,625,41
W000747,LP0221,GPU,547,547
W000748,LP0867,Display,234,215
W000749,LP0658,GPU,794,329
W000750,LP0581,Cooling Fan,191,665
W000751,LP0420,Cooling Fan,62,451
W000752,LP0699,Speaker,469,253
W000753,LP0337,Keyboard,237,63
W000754,LP0108,GPU,230,203
W000755,LP0359,Touchpad,66,146
W000756,LP0411,Keyboard,567,629
W000757,LP0035,Display,408,261
W000758,LP0238,SSD,566,250
W000759,LP0488,GPU,997,240
W000760,LP0980,SSD,215,318
W000761,LP0047,Touchpad,553,120
W000762,LP0746,Motherboard,155,474
W000763,LP0506,Touchpad,453,68
W000764,LP0076,SSD,196,136
W000765,LP0411,Motherboard,589,622
W000766,LP0671,Touchpad,180,55
W000767,LP0049,SSD,340,69
W000768,LP0155,Speaker,864,457
W000769,LP0949,Display,837,587
W000770,LP0034,Display,91,282
